question_english,disease_english,drug_english,treatment_english,question_telugu,disease_telugu,drug_telugu,treatment_telugu,question_bengali,disease_bengali,drug_bengali,treatment_bengali,question_hindi,disease_hindi,drug_hindi,treatment_hindi,question_tamil,disease_tamil,drug_tamil,treatment_tamil,question_marathi,disease_marathi,drug_marathi,treatment_marathi,question_gujarati,disease_gujarati,drug_gujarati,treatment_gujarati,Manual_Intent
How long does it take before we can see improvement in the symptoms of rickets?,rickets,,,రికెట్స్ యొక్క లక్షణాల్లో మెరుగుదలను మనం చూడటానికి ఎంత సమయం పడుతుంది?,రికెట్స్,,,রিকেটস-এর লক্ষণগুলির উন্নতি দেখতে পেতে আমাদের কতক্ষণ সময় লাগে?,রিকেটস,,,रिकेट्स के लक्षणों में सुधार देखने में हमें कितना समय लगता है?,रिकेट्स,,,ரிக்கெட்டுகளின் அறிகுறிகளில் முன்னேற்றத்தைக் காண எவ்வளவு நேரம் ஆகும்?,ரிக்கெட்டு,,,मुडदूसच्या लक्षणांमध्ये सुधारणा दिसण्यापूर्वी किती वेळ लागतो?,मुडदूस,,,રિકેટ્સના લક્ષણોમાં સુધારો જોવા મળે તે પહેલા કેટલો સમય લાગે છે?,રિકેટ્સ,,,disease
Should I take Cilacar 10 Tablet in the morning or at night?,,Cilacar 10 Tablet,,నేను సిలాకర్ ౧౦ మాత్రను ఉదయం లేదా రాత్రి తీసుకోవాల?,,సిలాకర్ ౧౦ మాత్ర,,আমার কি সকালে সিলাকার ১০ ট্যাবলেট গ্রহণ করা উচিত নাকি রাতে?,,সিলাকার ১০,,सिलाकर १० टैबलेट सुबह या रात में लेना चाहिए?,,सिलाकर १० टैबलेट,,நான் காலையில் அல்லது இரவில் சிலாக்கர் 10 மாத்திரையை எடுக்க வேண்டுமா?,,சிலாக்கர் 10,,मी सिलकर १० गोळी सकाळी  घ्यावे की रात्री ?,,सिलकर १० गोळी,,મારે સિલાકાર ૧૦ ટીકડી સવારે કે રાત્રે લેવી જોઈએ?,,સિલાકાર ૧૦ ટીકડી,,drug
Can ear infections cause ear pains in adults?,"Ear infections, ear pain",,,చెవి ఇన్ఫెక్షన్లు పెద్దవారిలో చెవి నొప్పులను కలిగిస్తాయా?,"చెవి ఇన్ఫెక్షన్లు,చెవి నొప్పులు",,,কানের সংক্রমণ কি প্রাপ্তবয়স্কদের মধ্যে কানের ব্যথার কারণ হতে পারে?,"কানের সংক্রমণ, কানের ব্যথা",,,क्या कान के संक्रमण से वयस्कों के  कान में दर्द हो सकता है?,"कान में संक्रमण, कान का दर्द",,,காது நோய்த்தொற்றுகள் பெரியவர்களில் காது வலியை ஏற்படுத்த முடியுமா?,"காது நோய்த்தொற்றுகள், காது வலியை",,,कानाच्या संसर्गामुळे प्रौढांमध्ये कान दुखू शकतात?,"कानात संक्रमण, कानात दुखणे",,,શું કાનના ચેપથી પુખ્ત વયના લોકોમાં કાનમાં દુખાવો થઈ શકે છે?,"કાનના ચેપ, કાનમાં દુખાવો",,,disease
How does Zentel Oral Suspension work?,,Zentel Oral Suspension,,జెంటెల్ ఓరల్ సస్పెన్షన్ ఎలా పని చేస్తుంది?,,జెంటెల్ ఓరల్ సస్పెన్షన్,,জেন্টাল ওরাল সাস্পেনশন কিভাবে কাজ করে?,,জেন্টাল ওরাল সাস্পেনশন,,ज़ेंटेल ओरल सस्पेंशन कैसे काम करता है?,,ज़ेंटेल ओरल सस्पेंशन,,சென்டெல் வாய்வழி இடைநீக்கம் எவ்வாறு செயல்படுகிறது?,,சென்டெல் வாய்வழி இடைநீக்கம்,,झेंटल ओरल सस्पेंशन कसे कार्य करते?,,झेंटल ओरल सस्पेंशन,,ઝેન્ટેલ ઓરલ સસ્પેન્શન કેવી રીતે કામ કરે છે?,,ઝેન્ટેલ ઓરલ સસ્પેન્શન,,drug
What blood test should be done to detect dengue?,dengue,,blood test,డెంగ్యూను గుర్తించడం కొరకు ఎలాంటి రక్త పరీక్ష చేయాలి?,డెంగ్యూ,,రక్త పరీక్ష,ডেঙ্গি শনাক্ত করতে কী কী রক্ত পরীক্ষা করা উচিত?,ডেঙ্গি,,রক্ত পরীক্ষা,डेंगू का पता लगाने के लिए कौन सा ब्लड टेस्ट करवाना चाहिए?,डेंगू,,रक्त परिक्षण ,டெங்கு கண்டறிய என்ன இரத்த பரிசோதனை செய்ய வேண்டும்?,டெங்கு,,இரத்த பரிசோதனை,डेंग्यू ओळखण्यासाठी कोणती रक्त तपासणी करावी?,डेंग्यू,,रक्त तपासणी,ડેન્ગ્યુ શોધવા માટે કયો બ્લડ ટેસ્ટ કરાવવો જોઈએ?,ડેન્ગ્યુ,,બ્લડ ટેસ્ટ,treatment
Is it possible to regrow my hair?,,,,నా జుట్టును తిరిగి పెంచడం సాధ్యమేనా?,,,,আমার চুল কি পুনরায় গজানো সম্ভব?,,,,क्या मेरे बालों को दोबारा उगाना संभव है?,,,,என் தலைமுடியை மீண்டும் வளர முடியுமா?,,,,माझे केस पुन्हा वाढवणे शक्य आहे का?,,,,શું મારા વાળ ફરીથી ઉગાડવાનું શક્ય છે?,,,,other
Is diabetes insipidus same as diabetes mellitus?,"Diabetes insipidus, diabetes mellitus",,,డయాబెటిస్ ఇన్సిపిడస్ మరియు డయాబెటిస్ మెల్లిటస్ ఒకటేనా?,"డయాబెటిస్ ఇన్సిపిడస్ , డయాబెటిస్ మెల్లిటస్",,,ডায়াবেটিস ইনসিপিডাস আর ডায়াবেটিস মেলিটাস কি একই?,"ডায়াবেটিস ইনসিপিডাস, ডায়াবেটিস মেলিটাস",,,क्या मधुमेह इन्सिपिडस मधुमेह मेलिटस के समान है?,"मधुमेह इन्सिपिडस, मधुमेह मेलिटस",,,நீரிழிவு இன்சிபிடஸ் நீரிழிவு நோயைப் போலவே இருக்கிறதா?,"நீரிழிவு இன்சிபிடஸ், நீரிழிவு நோயைப்",,,मधुमेह इन्सिपिडस हा मधुमेह मेलिटससारखाच आहे का?,"मधुमेह इन्सिपिडस,मधुमेह मेलिटससारखाच",,,"શું ડાયાબિટીસ ઇન્સિપિડસ, ડાયાબિટીસ મેલીટસ જેવું જ છે?","ડાયાબિટીસ ઇન્સિપિડસ, ડાયાબિટીસ મેલીટસ",,,disease
What are the instructions for storage and disposal of Monticope Tablet?,,Monticope Tablet,,మోంటికొపె మాత్ర ను నిల్వ చేయడం మరియు పారవేయడం కొరకు సూచనలు ఏమిటి?,,మోంటికొపె మాత్ర,,মন্টিকোপ ট্যাবলেটের সংরক্ষণ এবং নিষ্পত্তির জন্য নির্দেশাবলী কী কী?,,মন্টিকোপ,,मोंटीकोप टैबलेट (Monticope Tablet) के भंडारण और निपटान के लिए क्या निर्देश हैं?,,मोंटीकोप टैबलेट,,மான்டிகோப் மாத்திரையை சேமித்து அகற்றுவதற்கான வழிமுறைகள் யாவை?,,மான்டிகோப் மாத்திரையை,,मॉन्टीकोप टॅब्लेट च्या साठवणेसाठी आणि विल्हेवाटीसाठी काय सूचना आहेत?,,मॉन्टीकोप गोळी,,મોન્ટિકોપ ટીકડીના સંગ્રહ અને નિકાલ માટેની સૂચનાઓ શું છે?,,મોન્ટિકોપ ટીકડી,,drug
My doctor has prescribed Inderal 40 Tablet even though my blood pressure is within normal limits. Is it because of the chest pain that I complained of?,chest pain,Inderal 40 Tablet, blood pressure,నా రక్తపోటు సాధారణ పరిమితుల్లో ఉన్నప్పటికీ కూడా నా వైద్యుడు ఇందారాల్ ౪౦ మాత్రలని సిఫారసు చేశాడు. నేను ఫిర్యాదు చేసిన ఛాతీ నొప్పి వల్లనా?,ఛాతీ నొప్పి,ఇందారాల్ ౪౦,రక్తపోటు,আমার ডাক্তার ইন্ডেরাল ৪০ ট্যাবলেট লিখে দিয়েছেন যদিও আমার রক্তচাপ স্বাভাবিক সীমার মধ্যে রয়েছে। আমি বুকে ব্যথার অভিযোগ করেছি তার কারণেই কি?,বুকে ব্যথা,ইন্ডেরাল ৪০,রক্তচাপ,"मेरे चिकित्सक ने इंदरल ४० टैबलेट (Inderal 40 Tablet) निर्धारित किया है, भले ही मेरा रक्त चाप सामान्य सीमा के भीतर हो। क्या यह सीने में दर्द के कारण है जिसकी मैंने शिकायत की थी?",छाती में दर्द,इंदरल ४० टैबलेट,रक्त चाप,எனது இரத்த அழுத்தம் சாதாரண வரம்புகளுக்குள் இருந்தாலும் என் மருத்துவர் இன்டெரல் 40 மாத்திரையை பரிந்துரைத்துள்ளார். நான் புகார் செய்த மார்பு வலி காரணமாக இருக்கிறதா?,மார்பு வலி,இன்டெரல் 40 மாத்திரையை,இரத்த அழுத்தம்,माझा रक्तदाब सामान्य मर्यादेत असला तरीही माझ्या डॉक्टरांनी इंदिरल  ४० एमजी टॅब्लेट लिहून दिले आहे. छातीत दुखण्याची मी तक्रार केली म्हणून का?,छातीत दुखणे,इंदिरल  ४० एमजी गोळी,रक्तदाब,મારું બ્લડ પ્રેશર સામાન્ય મર્યાદામાં હોવા છતાં પણ મારા ડૉક્ટરે ઈન્ડેરલ ૪૦ ટીકડી સૂચવ્યું છે. શું છાતીના દુખાવાના કારણે મેં ફરિયાદ કરી હતી?,છાતીમાં દુખાવો,ઈન્ડેરલ ૪૦ ટીકડી,બ્લડ પ્રેશર,treatment
Is it safe to take alcohol while I am also taking Glycomet-GP 1 Tablet PR?,,Glycomet-GP 1 Tablet PR,,నేను గ్లైకోమేట్-జిపి ౧ మాత్ర తీసుకుంటున్నప్పుడు మద్యం తీసుకోవడం సురక్షితమేనా?,,గ్లైకోమేట్-జిపి ౧ మాత్ర,,গ্লাইকোমেট-জিপি ১ ট্যাবলেট পিআর খাওয়ার সময় অ্যালকোহল গ্রহণ করা কি নিরাপদ?,,গ্লাইকোমেটজিপি ১,,"क्या  शराब लेना  सुरक्षित है, अगर  मैं ग्लाइकोमेट-जीपी 1 टैबलेट पीआर भी ले रहा हूं?",,ग्लाइकोमेट-जीपी 1 टैबलेट पीआर,,நான் கிளைகோமெட்-ஜிபி 1 டேப்லெட் பி.ஆரையும் எடுத்துக் கொள்ளும்போது ஆல்கஹால் எடுத்துக்கொள்வது பாதுகாப்பானதா?,,கிளைகோமெட்-ஜிபி 1 டேப்லெட் பி.ஆரையும்,,मी ग्लायकोमेट जीपी १ टॅब्लेट घेत असताना दारू पिणे सुरक्षित आहे का?,,ग्लायकोमेट जीपी १ गोळी,,જ્યારે હું ગ્લાયકોમેટ-જીપી ૧  ટીકડી પીઆર પણ લઉં છું ત્યારે શું આલ્કોહોલ લેવો સુરક્ષિત છે?,,ગ્લાયકોમેટ-જીપી ૧  ટીકડી,,drug
Can I breastfeed while taking Reswas Syrup?,,Reswas Syrup,,రెశ్వాస్ సిరప్  తీసుకుంటుండగా నేను తల్లిపాలు ఇవ్వవచ్చా?,,రెశ్వాస్ సిరప్,,রেসবস সিরাপ খাওয়ার সময় আমি কি বুকের দুধ খাওয়াতে পারি?,,রেসবস সিরাপ,,क्या रेसवास सिरप (Reswas Syrup) लेते समय मैं स्तनपान करा सकती हूँ ?,,रेसवास सिरप,,ரெஸ்வாஸ் சிரப் எடுக்கும்போது நான் தாய்ப்பால் கொடுக்க முடியுமா?,,ரெஸ்வாஸ் சிரப்,,रेसवास सिरप घेताना मी स्तनपान करू शकतो का?,,रेसवास सिरप,,શું હું રેસ્વાસ સીરપ લેતી વખતે સ્તનપાન કરાવી શકું?,,રેસ્વાસ સીરપ,,drug
Can I give Allegra Suspension Raspberry & Vanilla along with juices?,,Allegra Suspension Raspberry and Vanilla,,నేను అలెగ్రా సస్పెన్షన్ రాస్ప్బెర్రీ మరియు వెనీలాతో పాటు జ్యూస్ లు ఇవ్వవచ్చా?,,అలెగ్రా సస్పెన్షన్ రాస్ప్బెర్రీ మరియు వెనీలా,,আমি কি অ্যালেগ্রা সাসপেনশন রাস্পবেরি এবং ভ্যানিলা রসের সাথে দিতে পারি?,,অ্যালেগ্রা সাসপেনশন রাস্পবেরি এবং ভ্যানিলা,,क्या मैं जूस के साथ एलेग्रा सस्पेंशन रास्पबेरी और वेनिला दे सकता हूं?,,एलेग्रा सस्पेंशन रास्पबेरी और वेनिला,,நான் அலெக்ரா சஸ்பென்ஷன் ராஸ்பெர்ரி & வெண்ணிலாவை சாறுகளுடன் கொடுக்கலாமா?,,அலெக்ரா சஸ்பென்ஷன் ராஸ்பெர்ரி & வெண்ணிலாவை,,मी अल्लेग्रा सस्पेंशन रास्पबेरी आणि व्हॅनिला ज्यूस सोबत देऊ शकतो का?,,अल्लेग्रा सस्पेंशन रास्पबेरी आणि व्हॅनिला,,શું હું જ્યુસ સાથે એલેગ્રા સસ્પેન્શન રાસ્પબેરી અને વેનીલા આપી શકું?,,એલેગ્રા સસ્પેન્શન રાસ્પબેરી અને વેનીલા,,drug
How do I come off Levera 500 Tablet?,,Levera 500 Tablet,,నేను లేవేరా ౫౦౦  మాత్ర నుండి ఎలా బయటపడగలను?,,లేవేరా ౫౦౦,,আমি কিভাবে লেভারা ৫০০ ট্যাবলেট বন্ধ করব?,,লেভারা ৫০০,,मुझे लेवेरा ५०० टैबलेट (Levera 500 Tablet) लेना कैसे रोकना चाहिए ?,,लेवेरा ५०० टैबलेट,,லெவரா 500 மாத்திரையை நான் எவ்வாறு வருவது?,,லெவரா 500 மாத்திரையை ,,मी लेव्हेरा  ५०० गोळी कसे बंद करू?,,लेव्हेरा  ५०० गोळी,,હું લેવેરા ૫૦૦ ટીકડી કેવી રીતે બંધ કરી શકું?,,લેવેરા ૫૦૦ ટીકડી,,drug
How long does it take for Vigore 100 Red Tablet to work?,,Vigor 100 Red Tablet,,విగోర్ ౧౦౦ రెడ్ మాత్ర పనిచేయడానికి ఎంత సమయం పడుతుంది?,,విగోర్ ౧౦౦ రెడ్ మాత్ర,,ভিগর ১০০ রেড ট্যাবলেট কাজ করতে কতক্ষণ সময় লাগে?,,ভিগর ১০০ রেড,,विगोर १००  रेड टैबलेट को काम करने में कितना समय लगता है?,,विगोर १०० रेड टैबलेट,,வைடோர் 100 சிவப்பு மாத்திரை வேலை செய்ய எவ்வளவு நேரம் ஆகும்?,,வைடோர் 100 சிவப்பு மாத்திரை,,विगोरा १०० रेड टॅब्लेट साठी किती वेळ लागेल?,,विगोरा १०० रेड गोळी,,વિગોર ૧૦૦ રેડ ટીકડી ને કામ કરવામાં કેટલો સમય લાગે છે?,,વિગોર ૧૦૦ રેડ ટીકડી,,drug
Should tight bandages be applied to stop bleeding from a wound?,Bleeding from the wound,,tight bandages,గాయం నుండి రక్తస్రావం ఆపడానికి గట్టి పట్టీలు వేయాలా?,గాయం నుండి రక్తస్రావం,,గట్టి పట్టీ,একটি ক্ষত থেকে রক্তপাত বন্ধ করার জন্য টাইট ব্যান্ডেজ প্রয়োগ করা উচিত?,ক্ষত থেকে রক্তপাত,,টাইট ব্যান্ডেজ,क्या घाव से रक्तस्राव को रोकने के लिए टाइट  पट्टियों को लगाना  चाहिए?,घाव से रक्तस्राव,,तंग पट्टियां,காயத்திலிருந்து இரத்தப்போக்கு நிறுத்த இறுக்கமான கட்டுகள் பயன்படுத்தப்பட வேண்டுமா?,காயத்திலிருந்து இரத்தப்போக்கு,,இறுக்கமான கட்டுகள்,जखमेतून रक्तस्त्राव,जखमेतून रक्तस्त्राव होतो,,घट्ट पट्टी,ઘામાંથી રક્તસ્ત્રાવ બંધ કરવા માટે ચુસ્ત પટ્ટીઓ લગાવવી જોઈએ?,ઘામાંથી રક્તસ્ત્રાવ,,ચુસ્ત પટ્ટીઓ,treatment
