question_english,disease_english,drug_english,treatment_english,question_hindi,disease_hindi,drug_hindi,treatment_hindi,question_bengali,disease_bengali,drug_bengali,treatment_bengali,question_tamil,disease_tamil,drug_tamil,treatment_tamil,question_telugu,disease_telugu,drug_telugu,treatment_telugu,question_marathi,disease_marathi,drug_marathi,treatment_marathi,question_gujarati,disease_gujarati,drug_gujarati,treatment_gujarati,Manual_Intent
is it wrong to take antibiotics for colds?,colds,antibiotics,,क्या सर्दी के लिए एंटीबायोटिक्स लेना गलत है?,जुकाम,एंटीबायोटिक दवाओं,,সর্দি-কাশির জন্য এন্টিবায়োটিক গ্রহণ করা কি ভুল?,সর্দিকাশি,এন্টিবায়োটিক,,ஜலதோஷத்திற்கு நுண்ணுயிர் எதிர்ப்பிகளை எடுத்துக்கொள்வது தவறா?,ஜலதோஷத்திற்கு ,நுண்ணுயிர் எதிர்ப்பிகளை,,జలుబు కోసం యాంటీబయాటిక్స్ తీసుకోవడం తప్పా?,జలుబు,యాంటీబయాటిక్స్,,सर्दीसाठी प्रतिजैविक घेणे चुकीचे आहे का?,सर्दी,प्रतिजैविक,,શું શરદી માટે એન્ટિબાયોટિક્સ લેવાનું ખોટું છે?,શરદી,એન્ટિબાયોટિક્સ,,drug
is tendonitis the same as a pulled tendon,"tendonitis, pulled tendon",,,टेंडोनाइटिस एक खींचे गए कण्डरा के समान है,"टेंडोनाइटिस, खींचा हुआ कण्डरा",,,টেন্ডোনাইটিস আর টান পড়া টেন্ডন কি একই?,"টেন্ডোনাইটিস, টান পড়া টেন্ডন",,,தசைநார் அழற்சி என்பது இழுக்கப்பட்ட தசைநார் போன்றது,"தசைநார் அழற்சி, தசைநார் ",,,స్నాయువు అనేది లాగబడిన స్నాయువు వలె ఉంటుంది?,"స్నాయువు, లాగబడిన స్నాయువు",,,टेंडोनिटिस हे ओढलेल्या टेंडनसारखेच असते,"टेंडोनिटिस,ओढलेल्या टेंडनसारखेच",,,શું કંડરાનો સોજો ખેંચાયેલા કંડરા જેવો જ છે?,"કંડરાનો સોજો, ખેંચાયેલ કંડરા",,,disease
could taking valium result in a false positive on a pregnancy test?,,Valium,pregnency test,एक गर्भावस्था परीक्षण पर एक झूठी सकारात्मक में वैलियम परिणाम हो सकता है?,,वैलियम,गर्भावस्था परीक्षण,ভ্যালিয়াম গ্রহণ করার কারণে কি গর্ভাবস্থা্র পরীক্ষায় ফল্‌স পজিটিভ ফল আসতে পারে?,,ভ্যালিয়াম,গর্ভাবস্থা্র পরীক্ষা,வாலியம் எடுத்துக்கொள்வது ஒரு கர்ப்ப பரிசோதனையில் தவறான நேர்மறையான விளைவை ஏற்படுத்துமா?,,வாலியம் ,கர்ப்ப பரிசோதனையில்,వాలియం తీసుకోవడం వల్ల గర్భధారణ పరీక్షలో తప్పుడు పాజిటివ్ వస్తుందా?,,వాలియం,గర్భధారణ పరీక్ష,व्हॅलियम घेतल्याने गर्भधारणा चाचणीत चुकीचा परिणाम होऊ शकतो?,,व्हॅलियम,गर्भधारणा चाचणी,શું વેલિયમ લેવાથી ગર્ભાવસ્થા પરિક્ષણમાં ખોટા હકારાત્મક પરિણામ આવી શકે છે?,,વેલિયમ,ગર્ભાવસ્થા પરિક્ષણ,drug
can coconut oil cure jock itch or is there something better to cure it?,jock itch,coconut oil,,क्या नारियल का तेल जॉक खुजली का इलाज कर सकता है या इसे ठीक करने के लिए कुछ बेहतर है?,जॉक खुजली,नारियल का तेल ,,নারকেল তেল কি জক চুলকানি নিরাময় করতে পারে নাকি এটি নিরাময়ের জন্য আরও ভাল কিছু আছে?,চুলকানি,নারকেল তেল,,தேங்காய் எண்ணெய் ஜாக் நமைச்சலை குணப்படுத்த முடியுமா அல்லது அதை குணப்படுத்த ஏதாவது சிறந்ததா?,ஜாக் நமைச்சல்,தேங்காய் எண்ணெய்,,కొబ్బరి నూనె జాక్ దురదను నయం చేయగలదా లేదా దానిని నయం చేయడానికి ఏదైనా మెరుగైంది ఉందా?,జాక్ దురద,కొబ్బరి నూనె,,नारळाच्या तेलाने जॉकची खाज सुटू शकते किंवा ते बरे करण्यासाठी काही चांगले आहे का?,जॉकची खाज,नारळाच्या तेल,,શું નાળિયેર તેલ જોક ખંજવાળ મટાડી શકે છે અથવા તેને મટાડવા માટે કંઈક સારું છે?,જોક ખંજવાળ,નાળિયેર તેલ,,treatment plan
can i have sex with a pregnant woman while taking valaciclovir?,,valasiclovir,,क्या मैं एक गर्भवती महिला के साथ वैलासिक्लोविर ले कर यौन संबंध रख सकता हूं?,,वैलासिक्लोविर,,ভ্যালাসিক্লোভির গ্রহণের সময় আমি কি কোনো গর্ভবতী মহিলার সাথে যৌন মিলন করতে পারি?,,ভ্যালাসিক্লোভির,,வலாசிக்ளோவிர் எடுக்கும்போது நான் ஒரு கர்ப்பிணிப் பெண்ணுடன் உடலுறவு கொள்ளலாமா?,,வலாசிக்ளோவிர்,,వలాసిక్లోవిర్ తీసుకునేటప్పుడు గర్భిణీ స్త్రీతో నేను సెక్స్ చేయవచ్చా?,,వలాసిక్లోవిర్,,व्हॅलेसीक्लोव्हिर घेत असताना मी गर्भवती महिलेशी लैंगिक संबंध ठेवू शकतो का?,,व्हॅलेसीक्लोव्हिर,,વેલાસીક્લોવીર લેતી વખતે શું હું સગર્ભા સ્ત્રી સાથે સેક્સ કરી શકું?,,વેલાસીક્લોવીર,,other
will a blood transfusion get rid of herpes,herpes,,blood transfusion,क्या खून चढ़ाने से दाद से छुटकारा मिलेगा,हरपीज,,रक्त आधान,রক্ত সঞ্চালন কি হারপিস উপশম করবে?,হারপিস,,রক্ত সঞ্চালন,ஒரு இரத்தமாற்றம் ஹெர்பெஸிலிருந்து விடுபடுமா?,ஹெர்பெஸிலிருந்து ,,இரத்தமாற்றம் ,రక్తమార్పిడి హెర్పెస్ ను వదిలిస్తుందా?,హెర్పెస్,,రక్తమార్పిడి,रक्त संक्रमण नागीण घालवतात,नागीण,,रक्त संक्रमण,શું લોહી ચઢાવવાથી હર્પીસથી છુટકારો મળશે ?,હર્પીસ,,રક્ત તબદિલી,treatment plan
do testosterone injections cause weight gain,weight gain,Testosterone Injections,,क्या टेस्टोस्टेरोन इंजेक्शन वजन बढ़ाने का कारण बनता है,वजन बढ़ना,टेस्टोस्टेरोन इंजेक्शन,,টেস্টোস্টেরোন এর ইনজেকশন কি ওজন বাড়ায় ?,ওজন বাড়ায়,টেস্টোস্টেরোন এর ইনজেকশন,,டெஸ்டோஸ்டிரோன் ஊசி மருந்துகள் எடை அதிகரிப்பை ஏற்படுத்துகின்றனவா?,எடை அதிகரிப்பை,டெஸ்டோஸ்டிரோன் ஊசி,,టెస్టోస్టెరాన్ ఇంజెక్షన్లు బరువు పెరగడానికి కారణమవుతాయా?,బరువు పెరగడం,టెస్టోస్టెరాన్ ఇంజెక్షన్లు,,टेस्टोस्टेरॉनच्या इंजेक्शनमुळे वजन वाढते,वजन वाढ,टेस्टोस्टेरॉनच्या इंजेक्शन,,શું ટેસ્ટોસ્ટેરોનના ઈન્જેક્શનથી વજન વધે છે?,વજન વધારો,ટેસ્ટોસ્ટેરોન ઇન્જેક્શન,,drug
brownish vaginal discharge every two weeks in my 12 year old. is this normal?,brownish vaginal discharge,,,मेरी १२ साल की उम्र में हर दो हफ्ते में भूरा योनि स्राव। क्या यह सामान्य है?,भूरा योनि स्राव,,,আমার ১২ বছর বয়সে প্রতি দুই সপ্তাহে বাদামী রঙের যোনি স্রাব। এটা কি স্বাভাবিক?,বাদামী রঙের যোনি স্রাব,,,எனது 12 வயதில் ஒவ்வொரு இரண்டு வாரங்களுக்கும் பழுப்பு நிற யோனி வெளியேற்றம். இது இயல்பானதா?,பழுப்பு நிற யோனி வெளியேற்றம்,,,నా ౧౨ సంవత్సరాల వయస్సులో ప్రతి రెండు వారాలకు గోధుమరంగు యోని ఉత్సర్గ వస్తుంది. ఇది సాధారణమా?,గోధుమరంగు యోని ఉత్సర్గ,,,माझ्या १२  वर्षांच्या वयात दर दोन आठवड्यांनी तपकिरी योनीतून स्त्राव होतो. हे सामान्य आहे का?,तपकिरी योनीतून स्त्राव,,,મારા ૧૨ વર્ષની ઉંમરમાં દર બે અઠવાડિયે ભૂરા યોનિમાર્ગ સ્રાવ. શું આ સામાન્ય છે?,ભુરો યોનિમાર્ગ સ્રાવ,,,disease
scoliosis. does it effect the stomach and breathing.,Scoliosis,,,क्या स्कोलियोसिस पेट और साँस लेने को प्रभावित करता है।,स्कोलियोसिस,,,স্কোলিওসিস। এটি কি পেট এবং শ্বাস-প্রশ্বাসকে প্রভাবিত করে?,স্কোলিওসিস,,,ஸ்கோலியோசிஸ். இது வயிறு மற்றும் சுவாசத்தை பாதிக்கிறதா?,ஸ்கோலியோசிஸ்.,,,స్కోలియోసిస్. ఇది కడుపు మరియు శ్వాసపై ప్రభావం చూపిస్తుందా?,స్కోలియోసిస్,,,स्कोलियोसिस त्याचा पोटावर आणि श्वासावर परिणाम होतो.,स्कोलियोसिस,,,સ્કોલિયોસિસ શું તે પેટ અને શ્વાસને અસર કરે છે?,સ્કોલિયોસિસ,,,disease
what is an acne scar?,Acne scar,,,मुँहासे का निशान क्या है?,मुँहासे,,,অ্যাকনে স্কার কী?,অ্যাকনে স্কার,,,முகப்பரு வடு என்றால் என்ன?,முகப்பரு,,,మొటిమల మచ్చ అంటే ఏమిటి?,మొటిమల మచ్చ,,,मुरुमांचे डाग काय आहे?,मुरुमांचे डाग,,,ખીલના ડાઘ શું છે?,ખીલના ડાઘ,,,disease
is folliculitis a form of herpes type 1,"Foliculitis, herpes type 1",,,क्या फॉलिक्युलिटिस हरपीज प्रकार का एक रूप है?,"फॉलिक्युलिटिस, हरपीज",,,ফলিকুলাইটিস হারপিস টাইপ ১ এর একটি ফর্ম?,"ফলিকুলাইটিস, হারপিস টাইপ ১",,,ஃபோலிகுலிடிஸ் ஹெர்பெஸ் வகை 1 இன் ஒரு வடிவமா?,"ஃபோலிகுலிடிஸ், ஹெர்பெஸ் வகை 1",,,ఫోలిక్యులిటిస్ హెర్పెస్ రకం ౧ యొక్క రూపమా?,"ఫోలిక్యులిటిస్, హెర్పెస్",,,फॉलिक्युलायटिस हा नागीण प्रकार 1 चा एक प्रकार आहे,"फॉलिक्युलायटिस, नागीण",,,શું ફોલિક્યુલાઇટિસ હર્પીસ પ્રકાર ૧ નું સ્વરૂપ છે?,"ફોલિક્યુલાટીસ, હર્પીસ",,,disease
can you get pregnant if you take adderall?,,adderall,,यदि आप एडरल लेते हैं तो क्या आप गर्भवती हो सकती हैं?,,एडरल,,আপনি যদি অ্যাডারল গ্রহণ করেন তবে আপনি কি গর্ভবতী হতে পারেন?,,অ্যাডারল,,நீங்கள் அட்ரல் எடுத்துக் கொண்டால் கர்ப்பமாக பெற முடியுமா?,,அட்ரல்,,మీరు అడెరాల్ తీసుకుంటే గర్భవతి అవుతారా?,,అడెరాల్,,तुम्ही ऍडराल  घेतल्यास तुम्ही गर्भवती होऊ शकता का?,,ऍडराल ,,જો તમે એડેરલ લો તો શું તમે ગર્ભવતી થઈ શકો છો?,,એડેરલ,,drug
i have some hip pain 9 weeks. had mra image recently would welcome second opinion?,hip pain,,mra image,मेरे कूल्हे में ९ सप्ताह से कुछ दर्द है। क्या एमआरए छवि हाल ही में दूसरी राय का स्वागत करेगी?,कूल्हे का दर्द,,एमआरए छवि,আমার ৯ সপ্তাহ কিছু নিতম্ব ব্যথা আছে। সম্প্রতি এমআরএ চিত্রটিতে কি দ্বিতীয় মতামতকে স্বাগত জানাবে?,নিতম্ব ব্যথা,,এমআরএ চিত্র,எனக்கு 9 வாரங்களாக இடுப்பு வலி உள்ளது. சமீபத்தில் எம்ஆர்ஏ படம் இருந்தால் இரண்டாவது கருத்தை வரவேற்கலாமா?,இடுப்பு வலி,,எம்ஆர்ஏ படம்,"నాకు ౯ వారాల పాటు కొంత తుంటి  నొప్పి  ఉంది. ఇటీవల ఎమ్ఆర్ఎ ఇమేజ్ కూడా తీపించాను, రెండవ అభిప్రాయాన్ని స్వాగతిస్తాను",తుంటి నొప్పి,,ఎమ్ఆర్ఎ ఇమేజ్,मला ९  आठवडे हिप दुखत आहे. एमारे प्रतिमा अलीकडे दुसऱ्या मताचे स्वागत करेल का?,हिप दुख,,एमारे  ,મને ૯ અઠવાડિયાથી હિપમાં દુખાવો છે. શું એમઆરએ ઇમેજ તાજેતરમાં બીજા અભિપ્રાયને આવકારશે?,હિપ પીડા,,એમઆરએ  છબી,treatment plan
what is the relationship between periodontitis and hiv?,"Pericarditis, HIV",,,परिदंतशोथ और एचआईवी के बीच क्या संबंध है?,"परिदंतशोथ, एचआईवी",,,পেরিওডোনটিস এবং এইচআইভি মধ্যে সম্পর্ক কি?,"পেরিওডোনটিস, এইচআইভি",,,பீரியண்டோன்டிடிஸ் மற்றும் எச்.ஐ.வி ஆகியவற்றுக்கு என்ன தொடர்பு?,"பீரியண்டோன்டிடிஸ், எச்.ஐ.வி ",,,పీరియాంటైటిస్ మరియు హెచ్ఐవి మధ్య సంబంధం ఏమిటి?,"పీరియాంటైటిస్, హెచ్ఐవి",,,पीरियडॉन्टायटिस आणि एचआयव्हीचा संबंध काय आहे?,"पीरियडॉन्टायटिस,एचआयव्हीचा",,,પિરિઓડોન્ટાઇટિસ અને એચઆઇવી વચ્ચે શું સંબંધ છે?,"પેરીકાર્ડિટિસ, એચ.આય.વી",,,disease
how can you turn off histamine with natural remedy,,histamine,,आप प्राकृतिक उपचार मैं  हिस्टामाइन को कैसे बंद कर सकते हैं,,हिस्टामिन,,আপনি কিভাবে প্রাকৃতিক প্রতিকার দিয়ে হিস্টামিনের ক্ষরণ বন্ধ করতে পারেন?,,হিস্টামিনের,,இயற்கையான தீர்வுடன் ஹிஸ்டமைனை எவ்வாறு அணைக்க முடியும்,,ஹிஸ்டமின்,,మీరు సహజ నివారణతో హిస్టామిన్‌ ను ఎలా ఆఫ్ చేయవచ్చు?,,హిస్టామిన్‌,,नैसर्गिक उपायाने तुम्ही हिस्टामाइन कसे बंद करू शकता,,हिस्टामाइन,,તમે કુદરતી ઉપાય સાથે હિસ્ટામાઇન કેવી રીતે બંધ કરી શકો છો ?,,હિસ્ટામાઇન,,disease
37 year old had tubal done 11 years ago having tender breasts and milky discharge?,"tender breasts, milky discharge",,Tubal,37 साल के व्यक्ति ने ने 11 साल पहले कोमल स्तनों और दूधिया निर्वहन के दौरान ट्यूबल किया था?,"कोमल स्तन, दूधिया स्राव",,ट्यूबल,৩৭ বছর বয়সী মহিলার ১১ বছর আগে টিউবাল করানো হয় তার কোমল স্তন এবং মিল্কি ডিসচার্জ হচ্ছে?,"কোমল স্তন, মিল্কি ডিসচার্জ",,টিউবাল,37 வயது ட்யூபல் செய்யப்பட்டது. 11 ஆண்டுகளுக்கு முன்பு மென்மையான மார்பகங்கள் மற்றும் பால் வெளியேற்றம் உள்ளதா?,"மென்மையான மார்பகங்கள், பால் வெளியேற்றம்",,ட்யூபல்,౩౭ ఏళ్ల వ్యక్తి ౧౧ ఏళ్ల క్రితం ట్యూబల్ చేయించుకున్నాడు. లేత రొమ్ములు మరియు మిల్కీ డిశ్చార్జ్ ఉందా?,"లేత రొమ్ములు, మిల్కీ డిశ్చార్జ్",,ట్యూబల్,३७  वर्षांच्या मुलाने ११  वर्षांपूर्वी ट्युबल केले होते स्तन कोमल आणि दुधाळ स्त्राव?,"स्तन कोमल,दुधाळ स्त्राव",,ट्युबल,૧૧ વર્ષ પહેલા ૩૭ વર્ષની ઉંમરે ટ્યુબલ કરવામાં આવી હતી જેમાં કોમળ સ્તનો અને દૂધિયું સ્રાવ હતો?,"કોમળ સ્તનો, દૂધિયું સ્રાવ",,ટ્યુબલ,disease
is creon fda approved and covered by most insurance?,,creon,,क्रेऑन एफडीए अनुमोदित है और ज़्यादातर बिमाओं द्वारा कवर किया गया है?,,क्रेऑन,,ক্রিয়ন কি এফডিএ অনুমোদিত এবং অধিকাংশ বীমার আওতায় আসে?,,ক্রিয়ন,,கிரியோன் எஃப்.டி.ஏ அங்கீகரிக்கப்பட்டு பெரும்பாலான காப்பீட்டால் மூடப்பட்டதா?,,கிரியோன்,,"క్రియోన్ ఎఫ్ డిఎ ఆమోదించబడి, చాలా బీమాల ద్వారా కవర్ చేయబడిందా?",,క్రియోన్ ఎఫ్,,क्रेयोन एफडीए  मंजूर आहे का  आणि बहुतेक विम्याद्वारे संरक्षित आहे?,,क्रेयोन ,,શું ક્રિઓન એફડીએ મંજૂર છે અને મોટાભાગના વીમા દ્વારા આવરી લેવામાં આવે છે?,,ક્રિઓન એફડીએ,,drug
at what age do children begin to get their adult teeth?,,,,किस उम्र में बच्चों को अपने वयस्क दांत मिलना शुरू हो जाते हैं?,,,,কোন বয়সে বাচ্চারা তাদের পূর্ণবয়স্ক দাঁত পেতে শুরু করে?,,,,எந்த வயதில் குழந்தைகள் தங்கள் வயதுவந்த பற்களைப் பெறத் தொடங்குகிறார்கள்?,,,,పిల్లలు ఏ వయస్సులో తమ వయోజన దంతాలను పొందడం ప్రారంభిస్తారు?,,,,कोणत्या वयात मुलांना त्यांचे प्रौढ दात येणे सुरू होते?,,,,કઈ ઉંમરે બાળકો તેમના પુખ્ત દાંત મેળવવાનું શરૂ કરે છે?,,,,other
what level of the spine does the sciatic nerve originate?,,,,कटिस्नायुशूल तंत्रिका रीढ़ के किस स्तर पर उत्पन्न होती है?,,,,মেরুদন্ডের কোন স্তরে সায়াটিক স্নায়ু উৎপন্ন হয়?,,,,முதுகெலும்பின் எந்த மட்டத்தில் இடுப்புமூட்டுக்குரிய நரம்பு உருவாகிறது?,,,,వెన్నెముక యొక్క ఏ స్థాయిలో సయాటిక్ నాడి ఉద్భవిస్తుంది?,,,,मणक्याच्या कोणत्या स्तरावर सायटॅटिक मज्जातंतू उद्भवते?,,,,કરોડરજ્જુના કયા સ્તરથી સિયાટિક નર્વ ઉદ્દભવે છે?,,,,other
