question_english,disease_english,drug_english,treatment_english,question_hindi,disease_hindi,drug_hindi,treatment_hindi,question_bengali,disease_bengali,drug_bengali,treatment_bengali,question_tamil,disease_tamil,drug_tamil,treatment_tamil,question_telugu,disease_telugu,drug_telugu,treatment_telugu,question_marathi,disease_marathi,drug_marathi,treatment_marathi,question_gujarati,disease_gujarati,drug_gujarati,treatment_gujarati,Manual_Intent
does 2 or 2 1/2 glasses of wine a day caues high blood preasure?,high blood pressure,,,क्या एक दिन में शराब के २ या २ १/२ गिलास उच्च रक्तचाप करता है?,उच्च रक्तचाप,,,দিনে ২ বা ২ ১/২ গ্লাস ওয়াইন কি উচ্চ রক্তচাপের কারণ হতে পারে?,উচ্চ রক্তচাপ,,,ஒரு நாளைக்கு 2 அல்லது 2 1/2 டம்ளர் ஒயின் அதிக இரத்த அழுத்தத்தை ஏற்படுத்துகிறதா?,அதிக இரத்த அழுத்தத்தை,,,రోజుకు ౨ లేదా ౨ ౧/౨ గ్లాసుల మందు  అధిక రక్తపోటుని  కలిగిస్తుందా?,అధిక రక్తపోటు,,,दिवसातून दिवसातून २ किंवा २ १ /२ ग्लास वाइन केल्याने उच्च रक्तप्रवाह होतो का?,उच्च रक्तप्रवाह,,,શું દિવસમાં ૨ અથવા ૨ ૧/૨ ગ્લાસ વાઇન હાઈ બ્લડ પ્રીઝરનું કારણ બને છે?,હાઈ બ્લડ પ્રેશર,,,disease
is tendonitis the same as a pulled tendon,"tendonitis, pulled tendon",,,टेंडोनाइटिस एक खींचे गए कण्डरा के समान है,"टेंडोनाइटिस, खींचा हुआ कण्डरा",,,টেন্ডোনাইটিস আর টান পড়া টেন্ডন কি একই?,"টেন্ডোনাইটিস, টান পড়া টেন্ডন",,,தசைநார் அழற்சி என்பது இழுக்கப்பட்ட தசைநார் போன்றது,"தசைநார் அழற்சி, தசைநார் ",,,స్నాయువు అనేది లాగబడిన స్నాయువు వలె ఉంటుంది?,"స్నాయువు, లాగబడిన స్నాయువు",,,टेंडोनिटिस हे ओढलेल्या टेंडनसारखेच असते,"टेंडोनिटिस,ओढलेल्या टेंडनसारखेच",,,શું કંડરાનો સોજો ખેંચાયેલા કંડરા જેવો જ છે?,"કંડરાનો સોજો, ખેંચાયેલ કંડરા",,,disease
scoliosis. does it effect the stomach and breathing.,Scoliosis,,,क्या स्कोलियोसिस पेट और साँस लेने को प्रभावित करता है।,स्कोलियोसिस,,,স্কোলিওসিস। এটি কি পেট এবং শ্বাস-প্রশ্বাসকে প্রভাবিত করে?,স্কোলিওসিস,,,ஸ்கோலியோசிஸ். இது வயிறு மற்றும் சுவாசத்தை பாதிக்கிறதா?,ஸ்கோலியோசிஸ்.,,,స్కోలియోసిస్. ఇది కడుపు మరియు శ్వాసపై ప్రభావం చూపిస్తుందా?,స్కోలియోసిస్,,,स्कोलियोसिस त्याचा पोटावर आणि श्वासावर परिणाम होतो.,स्कोलियोसिस,,,સ્કોલિયોસિસ શું તે પેટ અને શ્વાસને અસર કરે છે?,સ્કોલિયોસિસ,,,disease
when a pacemaker messes up does it cause someone to be violent and abusive?,"violent, abusive",,pacemaker,जब कोई पेसमेकर गड़बड़ करता है तो क्या यह किसी के हिंसक और अपमानजनक होने का कारण बनता है?,"हिंसक, अपमानजनक",,पेसमेकर ,পেসমেকার বিগড়ে গেলে তা কি কাউকে হিংস্র এবং অশিষ্ট করে তোলে?,"হিংস্র, অশিষ্ট",,পেসমেকার,"ஒரு இதயமுடுக்கி குழப்பமடையும் போது, அது யாரையாவது வன்முறையாகவும் துஷ்பிரயோகமாகவும் இருக்க வைக்கிறதா?","வன்முறையாகவும், துஷ்பிரயோகமாகவும்",,இதயமுடுக்கி,పేస్మేకర్ గందరగోళానికి గురైనప్పుడు అది ఎవరైనా హింసాత్మకంగా మరియు దుర్భాషలాడేందుకు కారణమవుతుందా?,"హింసాత్మకం , దుర్భాషలాడడం",,పేస్మేకర్,जेव्हा पेसमेकर गडबड करतो तेव्हा तो एखाद्याला हिंसक आणि अपमानास्पद बनवतो का?,"हिंसक , अपमानास्पद",,पेसमेकर,જ્યારે પેસમેકર ગડબડ કરે છે ત્યારે શું તે કોઈને હિંસક અને અપમાનજનક બનવાનું કારણ બને છે?,"હિંસક, અપમાનજનક",પેસમેકર,,disease
can cpap machine cause pleurisy,pleurisy,,cpap machine,क्या सीपीएपी मशीन फुफ्फुस का कारण बन सकती है,फुफ्फुस,,सी पी ऐ पी मशीन ,সি প্যাপ মেশিন প্লেউরিসির কারণ হতে পারে?,প্লেউরিসি,,সি প্যাপ মেশিন,CPAP இயந்திரம் ப்ளூரிசியை ஏற்படுத்த முடியுமா,ப்ளூரிசி,,CPAP இயந்திரம்,సీపాప్  యంత్రం ప్లూరిసికి కారణం కాగలదా?,ప్లూరిసి,,సీపాప్,सीपँप मशीनमुळे फुफ्फुसाचा दाह होऊ शकतो,फुफ्फुसाचा दाह,,सीपँप,સીપીએપી મશીન પ્યુરીસીનું કારણ બની શકે છે,પ્યુરીસી,,સીપીએપી,disease
i had my uterus removed can i still get cervical cancer,Cervical cancer,,uterus removed,मैंने अपना गर्भाशय निकाल दिया था क्या मुझे अब भी सर्वाइकल कैंसर हो सकता है?,सर्वाइकल कैंसर,,गर्भाशय निकाला गया,আমি তো আমার জরায়ু অপসারণ করেছি আমি কি এখনও জরায়ুর ক্যান্সার পেতে পারি,জরায়ুর ক্যান্সার,,জরায়ু অপসারণ,"நான் என் கருப்பை அகற்றப்பட்டேன், நான் இன்னும் கர்ப்பப்பை வாய்ப் புற்றுநோயைப் பெற முடியுமா?",புற்றுநோயை,,கருப்பை அகற்றப்பட்டேன்,"నేను నా గర్భాశయాన్ని తొలగించుకున్నాను, నాకు ఇంకా గర్భాశయ క్యాన్సర్ వస్తుందా?",గర్భాశయ క్యాన్సర్,,గర్భాశయాన్ని తొలగించు,मी माझे गर्भाशय काढले होते मला अजूनही गर्भाशयाचा कर्करोग होऊ शकतो का?,गर्भाशयाचा कर्करोग,,गर्भाशय काढ,"મેં મારું ગર્ભાશય કાઢી નાખ્યું હતું, શું મને હજુ પણ સર્વાઇકલ કેન્સર થઈ શકે છે",સર્વાઇકલ કેન્સર,,,disease
can taking certain perscription or otc drugs/supplements cause a loss of penile sensation,penile sensation,"OTC Drugs, supplements",,क्या कुछ नुस्खे या ओटीसी दवाएं/सप्लीमेंट्स लेने से पेनाइल संवेदना का नुकसान हो सकता है,पेनाइल संवेदना,"ओटीसी ड्रग्स, सप्लीमेंट्स",,নির্দিষ্ট পারক্রিপশন বা ওটিসি ওষুধ/পরিপূরক গ্রহণ করলে পুরুষাঙ্গের সংবেদন নষ্ট হতে পারে?,পুরুষাঙ্গের সংবেদন নষ্ট,"ওটিসি ওষুধ, পরিপূরক",,சில தடுப்பு அல்லது ஓடிசி மருந்துகள்/கூடுதல் மருந்துகளை உட்கொள்வது ஆண்குறி உணர்வை இழக்க நேரிடுமா?, ஆண்குறி உணர்வை,"ஓடிசி மருந்துகள், கூடுதல் மருந்துகளை",,నిర్దిష్ట నిర్దేశిత లేదా ఓటీసీ  మందులు/సప్లిమెంట్‌లను తీసుకోవడం వల్ల పురుషాంగ సంచలనాన్ని కోల్పోవచ్చ?,పురుషాంగ సంచలనాన్ని,"ఓటీసీ  మందులు, సప్లిమెంట్‌లు",,ठराविक पर्स्क्रिप्शन किंवा ओटीसी ड्रग्स/सप्लिमेंट्स घेतल्याने लिंग संवेदना नष्ट होऊ शकतात,लिंग संवेदना,"ओटीसी ड्रग्स,सप्लिमेंट्स",,ચોક્કસ પર્ક્રિપ્શન અથવા ઓટીસી દવાઓ/પૂર્તિઓ લેવાથી શિશ્નની સંવેદનામાં ઘટાડો થઈ શકે છે,શિશ્ન સંવેદના,"ઓટીસી દવાઓ, પૂરક",,disease
can you take a stool softner if you have diverticulitis?,diverticulitis,stool softner,,यदि आपको विपुटीशोथ है तो क्या आप मल सॉफ़्नर ले सकते हैं?,विपुटीशोथ,स्टूल सॉफ़्टनर,,আপনার যদি ডাইভার্টিকুলাইটিস থাকে তবে আপনি কি একটি মল সফটনার নিতে পারেন?,ডাইভার্টিকুলাইটিস,মল সফটনার,,உங்களிடம் டைவர்டிகுலிடிஸ் இருந்தால் மலம் மென்மையாக இருக்க முடியுமா?,டைவர்டிகுலிடிஸ்,மலம் மென்மையாக,,మీకు డైవర్టికులిటిస్ ఉన్నట్లయితే మీరు స్టూల్ సాఫ్ట్‌నర్‌ ను తీసుకోవచ్చా?,డైవర్టికులిటిస్,స్టూల్ సాఫ్ట్‌నర్‌,,तुम्हाला डायव्हर्टिकुलिटिस असल्यास तुम्ही स्टूल सॉफ्टनर घेऊ शकता का?,डायव्हर्टिकुलिटिस,स्टूल सॉफ्टनर,,જો તમને ડાયવર્ટિક્યુલાટીસ હોય તો શું તમે સ્ટૂલ સોફ્ટનર લઈ શકો છો?,ડાયવર્ટિક્યુલાટીસ,સ્ટૂલ સોફ્ટનર,,disease
will cipro help with sinus infection and respitory,sinus infection,cipro,,क्या सिप्रो साइनस संक्रमण और श्वसन में मदद करेगा?,साइनस संक्रमण,सिप्रो,,সিপ্রো সাইনাস সংক্রমণ এবং শ্বাসপ্রশ্বাসের সাথে সহায়তা করবে?,সাইনাস সংক্রমণ,সিপ্রো,,சைனஸ் தொற்று மற்றும் பேருக்கு சிப்ரோ உதவுமா?,சைனஸ் தொற்று,சிப்ரோ,,"సైనస్ ఇన్ఫెక్షన్ మరియు రెస్పిటరీకి, సిప్రో సహాయపడుతుందా?",సైనస్ ఇన్ఫెక్షన్,సిప్రో,,सायप्रो सायनस संसर्ग आणि श्वासोच्छवासास मदत करेल,सायनस संसर्ग,सायप्रो,,સિપ્રો સાઇનસ ચેપ અને શ્વસનતંત્રમાં મદદ કરશે,સાઇનસ ચેપ,સિપ્રો,,disease
is there a vitamin to help prevent boils?,boils,vitamin,,क्या फोड़े को रोकने में मदद करने के लिए एक विटामिन है?,फोड़े,विटामिन ,,ফোঁড়া প্রতিরোধে সহায়তা করার জন্য কি কোনও ভিটামিন আছে?,ফোঁড়া,ভিটামিন,,கொப்புளங்களைத் தடுக்க உதவும் வைட்டமின் உள்ளதா?,கொப்புளங்களைத் ,வைட்டமின் ,,బొబ్బలను నివారించడంలో సహాయపడటానికి విటమిన్ ఉందా?,బొబ్బలు,విటమిన్,,गळू टाळण्यासाठी जीवनसत्व आहे का?,गळू,जीवनसत्व,,શું ઉકળે રોકવામાં મદદ કરવા માટે વિટામિન છે?,ઉકળે,વિટામિન,,disease
what is nystatin prescribed for?,,nystatin,,निस्टेटिन किस लिए निर्धारित किया गया है?,,निस्टेटिन,,নিস্টাটিন কি জন্য নির্ধারিত হয়?,,নিস্টাটিন,,நிஸ்டாடின் எதற்காக பரிந்துரைக்கப்படுகிறது?,,நிஸ்டாடின்,,నిస్టాటిన్ దేని కొరకు సిఫారసు చేయబడుతుంది?,,నిస్టాటిన్,,नायस्टाटिन कशासाठी लिहून दिले जाते?,,नायस्टाटिन,,નિસ્ટાટિન શું માટે સૂચવવામાં આવે છે?,,નિસ્ટાટિન,,drug
is it safe to take emergen-c while pregnant?,,emergen-c,,क्या गर्भवती होने पर एमर्जेन-सी लेना सुरक्षित है?,,एमर्जेन-सी,,গর্ভবতী থাকাকালীন ইমার্জেন-সি গ্রহণ করা কি নিরাপদ?,,ইমার্জেন-সি,,கர்ப்பமாக இருக்கும்போது எமர்ஜென்-சி எடுப்பது பாதுகாப்பானதா?,,எமர்ஜென்-சி,,గర్భవతిగా ఉన్నప్పుడు ఎమర్జెన్-సి తీసుకోవడం సురక్షితమేనా?,,ఎమర్జెన్-సి,,गर्भावस्थेत इमरजेन-सी   घेणे सुरक्षित आहे का?,,इमरजेन-सी  ,,શું ગર્ભાવસ્થા દરમિયાન ઇમર્જન-સી લેવું સુરક્ષિત છે?,,ઇમર્જન-સી,,drug
could taking valium result in a false positive on a pregnancy test?,,Valium,pregnency test,एक गर्भावस्था परीक्षण पर एक झूठी सकारात्मक में वैलियम परिणाम हो सकता है?,,वैलियम,गर्भावस्था परीक्षण,ভ্যালিয়াম গ্রহণ করার কারণে কি গর্ভাবস্থা্র পরীক্ষায় ফল্‌স পজিটিভ ফল আসতে পারে?,,ভ্যালিয়াম,গর্ভাবস্থা্র পরীক্ষা,வாலியம் எடுத்துக்கொள்வது ஒரு கர்ப்ப பரிசோதனையில் தவறான நேர்மறையான விளைவை ஏற்படுத்துமா?,,வாலியம் ,கர்ப்ப பரிசோதனையில்,వాలియం తీసుకోవడం వల్ల గర్భధారణ పరీక్షలో తప్పుడు పాజిటివ్ వస్తుందా?,,వాలియం,గర్భధారణ పరీక్ష,व्हॅलियम घेतल्याने गर्भधारणा चाचणीत चुकीचा परिणाम होऊ शकतो?,,व्हॅलियम,गर्भधारणा चाचणी,શું વેલિયમ લેવાથી ગર્ભાવસ્થા પરિક્ષણમાં ખોટા હકારાત્મક પરિણામ આવી શકે છે?,,વેલિયમ,ગર્ભાવસ્થા પરિક્ષણ,drug
is creon fda approved and covered by most insurance?,,creon,,क्रेऑन एफडीए अनुमोदित है और ज़्यादातर बिमाओं द्वारा कवर किया गया है?,,क्रेऑन,,ক্রিয়ন কি এফডিএ অনুমোদিত এবং অধিকাংশ বীমার আওতায় আসে?,,ক্রিয়ন,,கிரியோன் எஃப்.டி.ஏ அங்கீகரிக்கப்பட்டு பெரும்பாலான காப்பீட்டால் மூடப்பட்டதா?,,கிரியோன்,,"క్రియోన్ ఎఫ్ డిఎ ఆమోదించబడి, చాలా బీమాల ద్వారా కవర్ చేయబడిందా?",,క్రియోన్ ఎఫ్,,क्रेयोन एफडीए  मंजूर आहे का  आणि बहुतेक विम्याद्वारे संरक्षित आहे?,,क्रेयोन ,,શું ક્રિઓન એફડીએ મંજૂર છે અને મોટાભાગના વીમા દ્વારા આવરી લેવામાં આવે છે?,,ક્રિઓન એફડીએ,,drug
what is antiemetic,,antimatic,,एंटीमैटिक क्या है?,,एंटीमैटिक,,এন্টিএমেটিক কি?,,এন্টিএমেটিক,,ஆண்டிமெடிக் என்றால் என்ன ?,,ஆண்டிமெடிக்,,వాంతి నిరోధకం అంటే ఏమిటి?,,వాంతి నిరోధకం,,अँटीमेटिक काय आहे,,अँटीमेटिक,,એન્ટિમેટિક શું છે,,એન્ટિમેટિક,,drug
what is coreg cr taken for?,,coreg cr,,करेग सी आर किस लिए लिया जाता है?,,करेग सी आर,,কোরেগ সিআর কিসের জন্য নেওয়া হয়?,,কোরেগ সিআর,,கோர்க் சிஆர் எதற்காக எடுக்கப்படுகிறது?,,கோர்க் சிஆர்,,కోర్గ్ సిఆర్ దేనికి తీసుకోబడుతుంది?,,కోర్గ్ సిఆర్,,कॉरेग सी आर  कशासाठी घेतले जाते?,,कॉरेग सी आर ,,કોરેગ સીઆર શું માટે લેવામાં આવે છે?,,કોરેગ સીઆર,,drug
what would a single dose of 4 azithromycin pills be used to treat?,,azithromycin,,क्या चार एज़िथ्रोमाइसिन गोलियों की एक खुराक के इलाज के लिए इस्तेमाल किया जाएगा?,,एज़िथ्रोमाइसिन,,কী চিকিৎসার জন্য 4 টি অ্যাজিথ্রোমাইসিন বড়ির একটি ডোজ ব্যবহার করা হবে?,,অ্যাজিথ্রোমাইসিন,,சிகிச்சையளிக்க 4 அஜித்ரோமைசின் மாத்திரைகளின் ஒற்றை டோஸ் என்ன பயன்படுத்தப்படும்?,,அஜித்ரோமைசின்,,చికిత్స చేయడం కొరకు ౪ అజిత్రోమైసిన్ మాత్రల యొక్క సింగిల్ మోతాదును దేనికి  ఉపయోగిస్తారు?,,అజిత్రోమైసిన్,,उपचारासाठी ४  अजिथ्रोमाइसिन गोळ्यांचा एकच डोस काय वापरला जाईल?,,अजिथ्रोमाइसिन,,સારવાર માટે ૪ એઝિથ્રોમાસીન ગોળીઓની એક માત્રાનો ઉપયોગ શું થશે?,,એઝિથ્રોમાસીન,,drug
