question_english,disease_english,drug_english,treatment_english,question_telugu,disease_telugu,drug_telugu,treatment_telugu,question_bengali,disease_bengali,drug_bengali,treatment_bengali,question_hindi,disease_hindi,drug_hindi,treatment_hindi,question_tamil,disease_tamil,drug_tamil,treatment_tamil,question_marathi,disease_marathi,drug_marathi,treatment_marathi,question_gujarati,disease_gujarati,drug_gujarati,treatment_gujarati,Manual_Intent
What does a fistula smell like?,fistula,,,ఫిస్టులా వాసన ఎలా ఉంటుంది?,ఫిస్టులా,,,ফিস্টুলার গন্ধ কেমন?,ফিস্টুলা,,,एक नालव्रण की गंध क्या है?,नासूर,,,ஒரு ஃபிஸ்துலா வாசனை எப்படி இருக்கும்?,ஃபிஸ்துலா,,,भगंदरचा वास कसा असतो?,भगंदर,,,ભગંદરની ગંધ કેવી હોય છે?,ભગંદર,,,disease
How long does it take before we can see improvement in the symptoms of rickets?,rickets,,,రికెట్స్ యొక్క లక్షణాల్లో మెరుగుదలను మనం చూడటానికి ఎంత సమయం పడుతుంది?,రికెట్స్,,,রিকেটস-এর লক্ষণগুলির উন্নতি দেখতে পেতে আমাদের কতক্ষণ সময় লাগে?,রিকেটস,,,रिकेट्स के लक्षणों में सुधार देखने में हमें कितना समय लगता है?,रिकेट्स,,,ரிக்கெட்டுகளின் அறிகுறிகளில் முன்னேற்றத்தைக் காண எவ்வளவு நேரம் ஆகும்?,ரிக்கெட்டு,,,मुडदूसच्या लक्षणांमध्ये सुधारणा दिसण्यापूर्वी किती वेळ लागतो?,मुडदूस,,,રિકેટ્સના લક્ષણોમાં સુધારો જોવા મળે તે પહેલા કેટલો સમય લાગે છે?,રિકેટ્સ,,,disease
Can ear infections cause ear pains in adults?,"Ear infections, ear pain",,,చెవి ఇన్ఫెక్షన్లు పెద్దవారిలో చెవి నొప్పులను కలిగిస్తాయా?,"చెవి ఇన్ఫెక్షన్లు,చెవి నొప్పులు",,,কানের সংক্রমণ কি প্রাপ্তবয়স্কদের মধ্যে কানের ব্যথার কারণ হতে পারে?,"কানের সংক্রমণ, কানের ব্যথা",,,क्या कान के संक्रमण से वयस्कों के  कान में दर्द हो सकता है?,"कान में संक्रमण, कान का दर्द",,,காது நோய்த்தொற்றுகள் பெரியவர்களில் காது வலியை ஏற்படுத்த முடியுமா?,"காது நோய்த்தொற்றுகள், காது வலியை",,,कानाच्या संसर्गामुळे प्रौढांमध्ये कान दुखू शकतात?,"कानात संक्रमण, कानात दुखणे",,,શું કાનના ચેપથી પુખ્ત વયના લોકોમાં કાનમાં દુખાવો થઈ શકે છે?,"કાનના ચેપ, કાનમાં દુખાવો",,,disease
Is diabetes insipidus same as diabetes mellitus?,"Diabetes insipidus, diabetes mellitus",,,డయాబెటిస్ ఇన్సిపిడస్ మరియు డయాబెటిస్ మెల్లిటస్ ఒకటేనా?,"డయాబెటిస్ ఇన్సిపిడస్ , డయాబెటిస్ మెల్లిటస్",,,ডায়াবেটিস ইনসিপিডাস আর ডায়াবেটিস মেলিটাস কি একই?,"ডায়াবেটিস ইনসিপিডাস, ডায়াবেটিস মেলিটাস",,,क्या मधुमेह इन्सिपिडस मधुमेह मेलिटस के समान है?,"मधुमेह इन्सिपिडस, मधुमेह मेलिटस",,,நீரிழிவு இன்சிபிடஸ் நீரிழிவு நோயைப் போலவே இருக்கிறதா?,"நீரிழிவு இன்சிபிடஸ், நீரிழிவு நோயைப்",,,मधुमेह इन्सिपिडस हा मधुमेह मेलिटससारखाच आहे का?,"मधुमेह इन्सिपिडस,मधुमेह मेलिटससारखाच",,,"શું ડાયાબિટીસ ઇન્સિપિડસ, ડાયાબિટીસ મેલીટસ જેવું જ છે?","ડાયાબિટીસ ઇન્સિપિડસ, ડાયાબિટીસ મેલીટસ",,,disease
Can stress cause urticaria?,"urticaria, stress",,,ఒత్తిడి ఉర్టికేరియాకు కారణమవుతుందా?,"ఒత్తిడి, ఉర్టికేరియా",,,স্ট্রেস কি আমবাতের কারণ হতে পারে?,"আমবাত, স্ট্রেস",,,क्या तनाव पित्ती का कारण बन सकता है?,"पित्ती, तनाव",,,மன அழுத்தம் யூர்டிகேரியாவை ஏற்படுத்துமா?,"மன அழுத்தம், யூர்டிகேரியாவை",,,तणावामुळे शीत पित्त होऊ शकतो का?,"तणाव,शीत पित्त",,,શું તણાવ અિટકૅરીયાનું કારણ બની શકે છે?,"અિટકૅરીયાનું, તણાવ",,,disease
Does exercise help arthritis?,arthritis,,exercise,ఆర్థరైటిస్ కు వ్యాయామం సహాయపడుతుందా?,ఆర్థరైటిస్,,వ్యాయామం,ব্যায়াম কি আর্থ্রাইটিসে সাহায্য করে?,আর্থ্রাইটিস,,ব্যায়াম,क्या व्यायाम गठिया में मदद करता है?,गठिया,,व्यायाम,உடற்பயிற்சி கீல்வாதத்திற்கு உதவுமா?,கீல்வாதத்திற்கு,,உடற்பயிற்சி,व्यायामामुळे संधिवात मदत होते का?,संधिवात,,व्यायाम,શું કસરત સંધિવામાં મદદ કરે છે?,સંધિવા,,કસરત,disease
What diet should I take if I have hypothyroidism?,Hypothyroidism,diet,,నాకు హైపోథైరాయిడిజం ఉంటే నేను ఎలాంటి ఆహారం తీసుకోవాలి?,హైపోథైరాయిడిజం,ఆహారం,,হাইপোথাইরয়েডিজম থাকলে আমার কী ডায়েট নেওয়া উচিত?,হাইপোথাইরয়েডিজম,ডায়েট,,हाइपोथायरायडिज्म होने पर मुझे कौन सा आहार लेना चाहिए?,हाइपोथायरायडिज्म,आहार,,எனக்கு ஹைப்போ தைராய்டிசம் இருந்தால் நான் என்ன உணவை எடுக்க வேண்டும்?,ஹைப்போ தைராய்டிசம்,உணவை ,,मला हायपोथायरॉईडीझम असल्यास मी कोणता आहार घ्यावा?,हायपोथायरॉईडीझम,,,જો મને હાઈપોથાઈરોડિઝમ હોય તો મારે કયો આહાર લેવો જોઈએ?,હાઈપોથાઈરોડિઝમ,આહાર,,disease
"If your child is lactose intolerant, what are the other food sources for obtaining Vitamin D?",lactose intolerant,vitamin D,,"ఒకవేళ మీ బిడ్డ లాక్టోస్ అసహనంగా ఉన్నట్లయితే, విటమిన్ డి పొందడం కొరకు ఇతర ఆహార వనరులు ఏవి?",లాక్టోస్ అసహనం,విటమిన్ డి,,"যদি আপনার শিশু ল্যাকটোজ অসহিষ্ণু হয়, তাহলে ভিটামিন ডি-এর উৎস অন্যান্য খাবার কী কী?",ল্যাকটোজ অসহিষ্ণু,ভিটামিন ডি,,"यदि आपका बच्चा लैक्टोज असहिष्णु है, तो विटामिन डी प्राप्त करने के लिए अन्य खाद्य स्रोत क्या हैं?",लैक्टोज असहिष्णु,विटामिन डी,,"உங்கள் பிள்ளை லாக்டோஸ் சகிப்புத்தன்மையற்றவராக இருந்தால், வைட்டமின் டி பெறுவதற்கான பிற உணவு ஆதாரங்கள் யாவை?",லாக்டோஸ் சகிப்புத்தன்மையற்றவராக,வைட்டமின் டி,,"जर तुमचे मूल लैक्टोज असहिष्णु असेल, तर व्हिटॅमिन डी मिळवण्यासाठी इतर अन्न स्रोत कोणते आहेत?",लैक्टोज असहिष्णु,व्हिटॅमिन डी,,"જો તમારું બાળક લેક્ટોઝ અસહિષ્ણુ હોય, તો વિટામિન ડી મેળવવા માટેના અન્ય ખાદ્ય સ્ત્રોતો કયા છે?",લેક્ટોઝ અસહિષ્ણુ,વિટામિન ડી,,disease
Can any type of laxative be used for Crohn's disease?,crohn's disease,laxative,,క్రోన్స్ వ్యాధికి ఏ రకమైన భేదిమందు ఉపయోగించవచ్చా?,క్రోన్స్ వ్యాధి,భేదిమందు,,ক্রোন রোগের জন্য কি কোনও ধরণের রেচক ব্যবহার করা যেতে পারে?,ক্রোন রোগ,রেচক,,क्या क्रोहन रोग के लिए किसी भी प्रकार के रेचक का प्रयोग किया जा सकता है?,क्रोहन रोग,रेचक,,க்ரோன் நோய்க்கு ஏதேனும் ஒரு மலமிளக்கியைப் பயன்படுத்த முடியுமா?,க்ரோன் நோய்,மலமிளக்கியைப்,,क्रोहन रोगासाठी कोणत्याही प्रकारचे रेचक वापरले जाऊ शकते का?,क्रोहन रोग,रेचक,,શું ક્રોહન રોગ માટે કોઈપણ પ્રકારના રેચકનો ઉપયોગ કરી શકાય છે?,ક્રોહન રોગ,રેચક,,disease
Can people with gallstones exercise?,gallstone,,exercise,పిత్తాశయ రాళ్లు ఉన్నవారు వ్యాయామం చేయవచ్చా?,పిత్తాశయ రాళ్లు,,వ్యాయామం,গলস্টোনে আক্রান্ত ব্যক্তিরা কি ব্যায়াম করতে পারেন?,গলস্টোন,,ব্যায়াম,क्या पित्त पथरी वाले लोग व्यायाम कर सकते हैं?,पित्त पथरी,,व्यायाम,பித்தப்பை கொண்டவர்கள் உடற்பயிற்சி செய்ய முடியுமா?,பித்தப்பை,,உடற்பயிற்சி,पित्त खडे असलेले लोक व्यायाम करू शकतात?,पित्त खडे,,व्यायाम,શું પિત્તાશયની પથરીવાળા લોકો કસરત કરી શકે છે?,પિત્તાશયની પથરી,,કસરત,disease
Can the use of Jalra-M  50mg/1000mg Tablet lead to Vitamin B12 deficiency?,Vitamin B12 deficiency,Jalra-M 50mg/1000 mg Tablet,,జల్రా-మ్ ౫౦ మిగ్రా/౧౦౦౦ మిగ్రా మాత్ర యొక్క ఉపయోగం విటమిన్ బి౧౨ లోపానికి దారితీస్తుందా?,విటమిన్ బి౧౨,జల్రా-మ్ ౫౦ మిగ్రా/౧౦౦౦ మిగ్రా మాత్ర,,জলরা-এম ৫০ মিলিগ্রাম/ ১০০০ মিলিগ্রাম ট্যাবলেট ব্যবহার করলে ভিটামিন ব১২ এর অভাব হতে পারে কি?,ভিটামিন ব১২,জলরাএম ৫০ মিলিগ্রাম/ ১০০০ মিলিগ্রাম,,क्या जालरा-एम ५०एमजी/१० एमजी टैबलेट के इस्तेमाल से विटामिन बी12 की कमी हो सकती है?,विटामिन बी12 की कमी,जालरा-एम ५०एमजी/१० एमजी टैबलेट,,ஜல்ரா-எம் 50 எம்ஜி/1000 மி.கி மாத்திரையின் பயன்பாடு வைட்டமின் பி 12 குறைபாட்டிற்கு வழிவகுக்கும்?,வைட்டமின் பி 12 குறைபாட்டிற்கு,ஜல்ரா-எம் 50 எம்ஜி/1000 மி.கி மாத்திரையின்,,जलरा-एम ५० एमजी / १००० एमजी गोळी च्या वापरामुळे जीवनसत्व बी १२ ची कमतरता होऊ शकते का?,जीवनसत्व बी १२ ची कमतरता,जलरा-एम 	५० एमजी / १००० एमजी,,શું જલરા-એમ ૫૦ મિલિગ્રામ/૧૦૦૦ મિલિગ્રામ ટીકડી ના ઉપયોગથી વિટામિન બી૧૨ ની ઉણપ થઈ શકે છે?,વિટામિન બી૧૨ ની ઉણપ,જલરા-એમ ૫૦ મિલિગ્રામ/૧૦૦૦ મિલિગ્રામ ટીકડી,,drug
Can Ecosprin-AV 75 Capsule affect the liver?,affect the liver,Ecosprin-Av 75 Capsule,,ఇది ఎకోస్ప్రిన్-ఏవీ ౭౫ క్యాప్సూల్ కాలేయాన్ని ప్రభావితం చేస్తుందా?,కాలేయాన్ని ప్రభావితం,ఎకోస్ప్రిన్-ఏవీ ౭౫ క్యాప్సూల్,,একস্প্রিং-এভি ৭৫ ক্যাপসুল কি লিভারের ক্ষতি করতে পারে?,ক্ষতি করা,একস্প্রিংএভি ৭৫,,क्या इकोस्प्रिन-एवी ७५ कैप्सूल यकृत को प्रभावित कर सकता है?,लीवर पर असर,इकोस्प्रिन-एवी ७५ कैप्सूल,,ஈகோஸ்ப்ரின்-ஏவி 75 காப்ஸ்யூல் கல்லீரலை பாதிக்க முடியுமா?,கல்லீரலை பாதிக்க,ஈகோஸ்ப்ரின்-ஏவி 75 காப்ஸ்யூல் ,,एकॉस्प्रिन  ए ७५ कॅप्सूल चा यकृतावर परिणाम होऊ शकतो का?,यकृतावर परिणाम,एकॉस्प्रिन  ए ७५ कॅप्सूल,,શું ઇકોસ્પ્રિન-એવી ૭૫ કેપ્સ્યુલ યકૃત પર અસર કરી શકે છે?,યકૃત પર અસર,ઇકોસ્પ્રિન-એવી ૭૫ કેપ્સ્યુલ,,drug
Can I stop taking Inderal LA 20 Tablet SR as my chest pain is under control?,Chest pain,Inderal LA 20 Tablet SR,,నా ఛాతీ నొప్పి నియంత్రణలో ఉన్నందున నేను ఇందారల్ ఎల్ఏ ౨౦ మాత్ర ఎస్ఆర్ తీసుకోవడం ఆపివేయవచ్చా?,ఛాతీ నొప్పి,ఇందారల్ ఎల్ఏ ౨౦ మాత్ర ఎస్ఆర్,,আমার বুকে ব্যথা নিয়ন্ত্রণে থাকায় ইন্ডেরাল এলএ ট্যাবলেট এসআর গ্রহণ করা কি আমি বন্ধ করতে পারি?,বুকে ব্যথা,ইন্ডেরাল এলএ ট্যাবলেট এসআর,,क्या मैं इंदरल एलए २० टैबलेट एसआर लेना बंद कर सकता हूं क्योंकि मेरी छाती में दर्द नियंत्रण में है?,छाती में दर्द,इंदरल एलए २० टैबलेट एसआर,,என் மார்பு வலி கட்டுப்பாட்டில் இருப்பதால் இன்ஸ்டெரல் லா 20 டேப்லெட் எஸ்.ஆர் எடுப்பதை நான் நிறுத்தலாமா?,மார்பு வலி,இன்ஸ்டெரல் லா 20 டேப்லெட் எஸ்.ஆர்,,माझी छाती दुखणे नियंत्रणात आहे म्हणून मी इंदिरल एल ए 20 एसआर टॅब्लेट थांबवू शकतो का?,छाती दुखणे,इंदिरल  एल ए २० एसआर गोळी,,શું હું ઈન્ડેરલ એલએ ૨૦ ટીકડી એસઆર લેવાનું બંધ કરી શકું કારણ કે મારી છાતીમાં દુખાવો નિયંત્રણમાં છે?,છાતીમાં દુખાવો,ઈન્ડેરલ એલએ ૨૦ ટીકડી એસઆર,,drug
